case_index,case,occurrences_outside_ltp_lists,production_logic_occurrences,comment_only_occurrences,locations
1,access01,0,0,0,
2,brk01,0,0,0,
3,chdir01,0,0,0,
4,clone01,0,0,0,
5,close01,0,0,0,
6,dup01,0,0,0,
7,fcntl01,0,0,0,
8,fcntl02,0,0,0,
9,fork01,0,0,0,
10,getpid01,0,0,0,
11,mmap01,0,0,0,
12,open01,0,0,0,
13,pipe01,0,0,0,
14,read01,0,0,0,
15,stat01,0,0,0,
16,wait401,0,0,0,
17,write01,0,0,0,
18,access03,0,0,0,
19,close02,0,0,0,
20,dup02,0,0,0,
21,fcntl03,0,0,0,
22,getcwd01,0,0,0,
23,getpid02,0,0,0,
24,getppid01,0,0,0,
25,getuid01,0,0,0,
26,geteuid01,0,0,0,
27,getgid01,0,0,0,
28,getegid01,0,0,0,
29,getresuid01,0,0,0,
30,getresuid02,0,0,0,
31,getresuid03,0,0,0,
32,getresgid01,0,0,0,
33,getresgid02,0,0,0,
34,getresgid03,0,0,0,
35,lseek01,0,0,0,
36,lseek02,0,0,0,
37,read02,0,0,0,
38,write02,0,0,0,
39,creat01,0,0,0,
40,creat03,0,0,0,
41,open02,0,0,0,
42,open03,0,0,0,
43,stat02,0,0,0,
44,lstat01,0,0,0,
45,chmod01,0,0,0,
46,fchmod01,0,0,0,
47,rmdir01,0,0,0,
48,symlink01,0,0,0,
49,readlink01,0,0,0,
50,ftruncate01,0,0,0,
51,umask01,0,0,0,
52,alarm02,0,0,0,
53,alarm03,0,0,0,
54,clock_gettime02,0,0,0,
55,gettimeofday01,0,0,0,
56,time01,0,0,0,
57,times01,0,0,0,
58,kill03,0,0,0,
59,rt_sigaction01,0,0,0,
60,rt_sigaction02,0,0,0,
61,sigaction01,0,0,0,
62,proc01,0,0,0,
63,exit01,0,0,0,
64,exit02,0,0,0,
65,exit_group01,0,0,0,
66,getpgrp01,0,0,0,
67,getsid01,0,0,0,
68,gettid01,0,0,0,
69,uname01,0,0,0,
70,uname04,0,0,0,
71,getrlimit01,0,0,0,
72,getrusage01,0,0,0,
73,sched_getscheduler01,0,0,0,
74,sched_yield01,0,0,0,
75,getpgid02,0,0,0,
76,getsid02,0,0,0,
77,getppid02,0,0,0,
78,getuid03,0,0,0,
79,geteuid02,0,0,0,
80,getgid03,0,0,0,
81,getegid02,0,0,0,
82,getgroups03,0,0,0,
83,uname02,0,0,0,
84,wait01,0,0,0,
85,wait02,0,0,0,
86,getrlimit02,0,0,0,
87,getgroups01,0,0,0,
88,setrlimit02,0,0,0,
89,sched_getparam01,0,0,0,
90,sched_get_priority_max01,0,0,0,
91,sched_get_priority_min01,0,0,0,
92,sched_rr_get_interval01,0,0,0,
93,getpriority01,0,0,0,
94,getpriority02,0,0,0,
95,waitpid03,0,0,0,
96,rt_sigprocmask01,0,0,0,
97,rt_sigprocmask02,0,0,0,
98,sigaction02,0,0,0,
99,sigprocmask01,0,0,0,
100,sigsuspend01,0,0,0,
101,dup04,0,0,0,
102,dup202,0,0,0,
103,faccessat01,0,0,0,
104,fchmod03,0,0,0,
105,mkdirat01,0,0,0,
106,openat01,0,0,0,
107,pipe03,0,0,0,
108,pipe04,0,0,0,
109,pipe05,0,0,0,
110,pread01,0,0,0,
111,pwrite01,0,0,0,
112,sysinfo01,0,0,0,
113,waitpid06,0,0,0,
114,waitpid07,0,0,0,
115,waitpid08,0,0,0,
116,waitpid09,0,0,0,
117,brk02,0,0,0,
118,chmod03,0,0,0,
119,dup3_01,0,0,0,
120,dup3_02,0,0,0,
121,faccessat02,0,0,0,
122,fchmodat01,0,0,0,
123,getdomainname01,0,0,0,
124,gethostname01,0,0,0,
125,getpagesize01,0,0,0,
126,getrandom01,0,0,0,
127,getrandom02,0,0,0,
128,getrandom03,0,0,0,
129,getrandom04,0,0,0,
130,getrandom05,0,0,0,
131,getrlimit03,0,0,0,
132,read04,0,0,0,
133,sched_get_priority_max02,0,0,0,
134,sched_get_priority_min02,0,0,0,
135,sched_rr_get_interval02,0,0,0,
136,sysinfo02,0,0,0,
137,truncate02,0,0,0,
138,unlinkat01,0,0,0,
139,wait402,0,0,0,
140,dup201,0,0,0,
141,pipe06,0,0,0,
142,alarm06,0,0,0,
143,dup06,0,0,0,
144,dup07,0,0,0,
145,dup203,0,0,0,
146,dup204,0,0,0,
147,dup205,0,0,0,
148,dup206,0,0,0,
149,faccessat201,0,0,0,
150,faccessat202,0,0,0,
151,fchmod04,0,0,0,
152,fcntl04,0,0,0,
153,fcntl08,0,0,0,
154,fcntl09,0,0,0,
155,fcntl10,0,0,0,
156,fcntl16,0,0,0,
157,waitpid10,0,0,0,
158,waitpid04,0,0,0,
159,fcntl29,0,0,0,
160,fstatat01,0,0,0,
161,pipe09,0,0,0,
162,pipe10,0,0,0,
163,pipe14,0,0,0,
164,readv01,0,0,0,
165,write03,0,0,0,
166,write06,0,0,0,
167,writev02,0,0,0,
168,personality01,0,0,0,
169,personality02,0,0,0,
170,setegid01,0,0,0,
171,setfsgid01,0,0,0,
172,setfsuid01,0,0,0,
173,setgid01,0,0,0,
174,setgid03,0,0,0,
175,setpgid01,0,0,0,
176,setpgid02,0,0,0,
177,setpgrp01,0,0,0,
178,setpgrp02,0,0,0,
179,setregid01,0,0,0,
180,setresgid01,0,0,0,
181,setresuid01,0,0,0,
182,open04,0,0,0,
183,setgroups01,0,0,0,
184,setgroups02,0,0,0,
185,setreuid01,0,0,0,
186,setuid01,0,0,0,
187,statx02,0,0,0,
188,kill06,0,0,0,
189,mlock01,0,0,0,
190,mmap02,0,0,0,
191,mmap03,0,0,0,
192,munlock01,0,0,0,
193,pwrite03,0,0,0,
194,wait403,0,0,0,
195,waitpid11,0,0,0,
196,waitpid12,0,0,0,
197,waitpid13,0,0,0,
198,setpriority02,0,0,0,
199,setrlimit01,0,0,0,
200,setrlimit03,0,0,0,
201,pipe11,0,0,0,
202,fcntl01_64,0,0,0,
203,fcntl02_64,0,0,0,
204,fcntl03_64,0,0,0,
205,fcntl04_64,0,0,0,
206,fcntl08_64,0,0,0,
207,fcntl09_64,0,0,0,
208,fcntl10_64,0,0,0,
209,fcntl16_64,0,0,0,
210,fcntl29_64,0,0,0,
211,ftruncate01_64,0,0,0,
212,lstat01_64,0,0,0,
213,pread01_64,0,0,0,
214,pwrite01_64,0,0,0,
215,pwrite03_64,0,0,0,
216,stat01_64,0,0,0,
217,stat02_64,0,0,0,
218,truncate02_64,0,0,0,
219,getegid01_16,0,0,0,
220,getegid02_16,0,0,0,
221,dup03,0,0,0,
222,setegid02,0,0,0,
223,setfsgid02,0,0,0,
224,setfsuid02,0,0,0,
225,setfsuid03,0,0,0,
226,setfsuid04,0,0,0,
227,setgid02,0,0,0,
228,setregid02,0,0,0,
229,setregid03,0,0,0,
230,setregid04,0,0,0,
231,setresgid02,0,0,0,
232,setresgid03,0,0,0,
233,setresuid02,0,0,0,
234,setresuid03,0,0,0,
235,setreuid02,0,0,0,
236,setreuid03,0,0,0,
237,setreuid04,0,0,0,
238,setuid04,0,0,0,
239,rt_sigsuspend01,0,0,0,
240,signal02,0,0,0,
241,signal03,0,0,0,
242,signal04,0,0,0,
243,sighold02,0,0,0,
244,sched_getaffinity01,0,0,0,
245,sched_setparam01,0,0,0,
246,sched_setparam02,0,0,0,
247,sched_setparam03,0,0,0,
248,mlock03,0,0,0,
249,mlock04,0,0,0,
250,sched_setscheduler03,0,0,0,
251,set_tid_address01,0,0,0,
252,writev05,0,0,0,
253,writev06,0,0,0,
254,writev07,0,0,0,
255,readv02,0,0,0,
256,writev01,0,0,0,
257,waitid01,0,0,0,
258,waitid02,0,0,0,
259,waitid03,0,0,0,
260,waitid04,0,0,0,
261,waitid05,0,0,0,
262,waitid06,0,0,0,
263,waitid09,0,0,0,
264,waitid11,0,0,0,
265,kill07,0,0,0,
266,kill08,0,0,0,
267,kill09,0,0,0,
268,preadv01_64,0,0,0,
269,preadv02_64,0,0,0,
270,pwritev01_64,0,0,0,
271,pwritev02_64,0,0,0,
272,open08,0,0,0,
273,open13,0,0,0,
274,pipe12,0,0,0,
275,pipe13,0,0,0,
276,pipe2_01,0,0,0,
277,pipe2_04,0,0,0,
278,dup207,0,0,0,
279,getcwd02,0,0,0,
280,fchdir02,0,0,0,
281,fcntl23,0,0,0,
282,open09,0,0,0,
283,sched_getattr02,0,0,0,
284,statvfs02,0,0,0,
285,symlink02,0,0,0,
286,symlink04,0,0,0,
287,nice01,0,0,0,
288,nice02,0,0,0,
289,prctl01,0,0,0,
290,sethostname01,0,0,0,
291,sethostname02,0,0,0,
292,sethostname03,0,0,0,
293,clock_nanosleep04,0,0,0,
294,nanosleep04,0,0,0,
295,nice03,0,0,0,
296,fcntl23_64,0,0,0,
297,setuid03,0,0,0,
298,prctl05,0,0,0,
299,ftruncate03,0,0,0,
300,truncate03,0,0,0,
301,lseek07,0,0,0,
302,alarm05,0,0,0,
303,alarm07,0,0,0,
304,write05,0,0,0,
305,gettimeofday02,0,0,0,
306,waitpid01,0,0,0,
307,pipe2_02,0,0,0,
308,sched_getscheduler02,0,0,0,
309,fstat03,0,0,0,
310,fstat03_64,0,0,0,
311,statfs02,0,0,0,
312,fstatfs02,0,0,0,
313,fstatfs02_64,0,0,0,
314,sched_getparam03,0,0,0,
315,sched_setparam04,0,0,0,
316,sched_setparam05,0,0,0,
317,fchdir01,0,0,0,
318,fchdir03,0,0,0,
319,fcntl05,0,0,0,
320,fcntl05_64,0,0,0,
321,fcntl12,0,0,0,
322,fcntl12_64,0,0,0,
323,fcntl13,0,0,0,
324,fcntl13_64,0,0,0,
325,fdatasync01,0,0,0,
326,fdatasync02,0,0,0,
327,readlinkat01,0,0,0,
328,sched_setscheduler01,0,0,0,
329,sched_setscheduler02,0,0,0,
330,symlinkat01,0,0,0,
331,ftruncate03_64,0,0,0,
332,chdir04,0,0,0,
333,chown01,0,0,0,
334,chown02,0,0,0,
335,chown03,0,0,0,
336,chown05,0,0,0,
337,creat05,0,0,0,
338,abs01,0,0,0,
339,mkdir05,0,0,0,
340,statfs02_64,0,0,0,
341,truncate03_64,0,0,0,
342,fork03,0,0,0,
343,fork04,0,0,0,
344,fork07,0,0,0,
345,fork08,0,0,0,
346,fork09,0,0,0,
347,signal05,0,0,0,
348,string01,0,0,0,
349,memcmp01,0,0,0,
350,memcpy01,0,0,0,
351,memset01,0,0,0,
352,access02,0,0,0,
353,fchmodat02,0,0,0,
354,inode01,0,0,0,
355,mmap06,0,0,0,
356,ftest01,0,0,0,
357,ftest02,0,0,0,
358,ftest03,1,0,1,examples/shell/src/cmd.rs:1107:comment
359,ftest04,0,0,0,
360,mmap10,0,0,0,
361,stream01,0,0,0,
362,ftest05,0,0,0,
363,ftest07,1,0,1,examples/shell/src/cmd.rs:1107:comment
364,ftest08,0,0,0,
365,mmap09,0,0,0,
366,mmap11,0,0,0,
367,stream03,0,0,0,
368,stream04,0,0,0,
369,stream05,0,0,0,
370,abort01,0,0,0,
371,poll01,0,0,0,
372,fork05,0,0,0,
373,fork10,0,0,0,
374,kill11,0,0,0,
375,kill12,0,0,0,
376,mem02,0,0,0,
377,clock_settime01,0,0,0,
378,clock_settime02,0,0,0,
379,clone03,0,0,0,
380,confstr01,0,0,0,
381,chmod05,0,0,0,
382,fchmod05,0,0,0,
383,pipe08,0,0,0,
384,preadv01,0,0,0,
385,preadv02,0,0,0,
386,pwritev01,0,0,0,
387,pwritev02,0,0,0,
388,pread02,0,0,0,
389,pread02_64,0,0,0,
390,pwrite02,0,0,0,
391,pwrite02_64,0,0,0,
392,pwrite04,0,0,0,
393,pwrite04_64,0,0,0,
394,sendfile02,0,0,0,
395,sendfile02_64,0,0,0,
396,sendfile03,0,0,0,
397,sendfile03_64,0,0,0,
398,sendfile04,0,0,0,
399,sendfile04_64,0,0,0,
400,sendfile05,0,0,0,
401,sendfile05_64,0,0,0,
402,sendfile06,0,0,0,
403,sendfile06_64,0,0,0,
404,sendfile08,0,0,0,
405,sendfile08_64,0,0,0,
406,preadv201,0,0,0,
407,preadv201_64,0,0,0,
408,preadv202,0,0,0,
409,preadv202_64,0,0,0,
410,pwritev201,0,0,0,
411,pwritev201_64,0,0,0,
412,pwritev202,0,0,0,
413,pwritev202_64,0,0,0,
414,fcntl07,0,0,0,
415,fcntl07_64,0,0,0,
416,open06,0,0,0,
417,creat04,0,0,0,
418,mkdir04,0,0,0,
419,rmdir03,0,0,0,
420,unlink08,0,0,0,
421,unlink07,0,0,0,
422,statfs03,0,0,0,
423,statfs03_64,0,0,0,
424,pselect03,0,0,0,
425,setrlimit05,0,0,0,
426,unlink05,0,0,0,
427,pipe02,0,0,0,
428,dup05,0,0,0,
429,sendfile07,0,0,0,
430,sendfile07_64,0,0,0,
431,stream02,0,0,0,
432,flock01,0,0,0,
433,flock02,0,0,0,
434,flock03,0,0,0,
435,flock04,0,0,0,
436,clone06,0,0,0,
437,clone07,0,0,0,
438,pselect03_64,0,0,0,
439,pselect02,0,0,0,
440,pselect02_64,0,0,0,
441,flock06,0,0,0,
442,llseek02,0,0,0,
443,llseek03,0,0,0,
444,setresgid04,0,0,0,
445,setresuid04,0,0,0,
446,setresuid05,0,0,0,
447,setreuid05,0,0,0,
448,setreuid06,0,0,0,
449,setreuid07,0,0,0,
450,fchown01,0,0,0,
451,fchown02,0,0,0,
452,fchown03,0,0,0,
453,fchown05,0,0,0,
454,fchownat01,0,0,0,
455,fcntl18,0,0,0,
456,fcntl18_64,0,0,0,
457,fcntl11,0,0,0,
458,fcntl14,0,0,0,
459,fcntl19,0,0,0,
460,fcntl22,0,0,0,
461,syscall01,0,0,0,
462,mknod06,0,0,0,
463,mknod02,0,0,0,
464,mknod05,0,0,0,
465,getitimer01,0,0,0,
466,ppoll01,0,0,0,
467,fpathconf01,0,0,0,
468,pathconf01,0,0,0,
469,rename14,0,0,0,
470,mknod08,0,0,0,
471,mknodat01,0,0,0,
472,getxattr01,0,0,0,
473,listxattr01,0,0,0,
474,statx03,0,0,0,
475,diotest1,0,0,0,
476,diotest2,0,0,0,
477,diotest3,0,0,0,
478,diotest5,0,0,0,
479,diotest6,0,0,0,
480,mprotect05,0,0,0,
481,mmap001,0,0,0,
482,mmap15,0,0,0,
483,mmap17,0,0,0,
484,mmap19,0,0,0,
485,mincore01,0,0,0,
486,futex_wait02,0,0,0,
487,futex_wait04,0,0,0,
488,futex_wake01,0,0,0,
489,kill02,0,0,0,
490,sched_tc2,0,0,0,
491,sched_tc3,0,0,0,
492,sched_tc4,0,0,0,
493,sched_tc5,0,0,0,
494,shmdt02,0,0,0,
495,shmem_2nstest,0,0,0,
496,shmnstest,0,0,0,
497,shmt02,0,0,0,
498,shmt03,0,0,0,
499,shmt06,0,0,0,
500,shmt07,0,0,0,
501,shmt08,0,0,0,
502,shmt10,0,0,0,
503,tkill01,0,0,0,
504,tkill02,0,0,0,
505,vfork01,0,0,0,
506,vfork02,0,0,0,
507,accept01,0,0,0,
